delta_time_sec,angular_sep_deg,cross_source,label_correlated
313,7.756521798338625,0,0
374,0.32056312910246243,1,1
100,18.30121465034445,0,0
26,10.997371255524104,1,0
196,3.3056898028591486,1,1
145,0.21622167270392678,0,0
154,3.314963539304414,1,1
64,5.77937049842117,1,0
41,0.7680175465268912,1,1
222,2.906533848410082,1,1
87,4.840441599617544,1,1
158,1.8413397216495087,1,1
344,15.243491743632893,0,0
1327,14.281054467562535,0,0
115,2.0049112744575326,1,1
263,3.7987227291512182,1,1
115,0.7872375963945899,1,1
155,4.707665237967151,1,1
349,4.298252740727917,1,1
38,2.1181160880751526,1,1
222,4.93317231610813,0,0
45,9.539667852353075,1,0
90,2.970135632873616,1,1
135,0.6982310531244762,1,1
292,1.092206064269381,1,1
190,2.3440781136046684,1,1
406,11.315631096819928,1,0
402,9.191259550110438,0,0
548,1.1400477510386797,1,1
804,17.723635442586904,0,0
300,17.18223515293833,1,0
97,19.564413370531167,1,0
363,0.4369342397240361,1,1
290,10.374019887611901,1,0
75,0.3022136842895007,1,1
1076,10.96290405456044,0,0
102,6.62704437472634,1,0
556,6.852902930450431,0,0
480,3.3977414643811454,1,1
238,6.504223925524226,1,0
327,12.036134678908946,0,0
1014,18.935124893844815,1,0
624,19.151620301676346,0,0
189,16.550473879076343,0,0
543,1.6842602235419668,1,1
146,4.823304286155238,1,1
88,4.018226793710449,1,1
1380,16.282513711823235,0,0
369,1.331294558284457,1,1
58,19.583031102012313,1,0
32,2.665685161643463,1,1
381,0.4789253054096698,1,1
269,2.5971402683576206,0,0
219,1.7951900112031427,1,1
48,5.141253843784175,1,0
238,4.234287442959417,1,1
174,0.4928880927264534,1,1
527,0.41868235653466535,0,0
273,2.856286089457347,0,0
58,4.09604818112419,1,1
88,3.8772613587378535,1,1
56,4.4863711770705255,1,1
198,16.1019462408227,1,0
647,18.82241625067347,1,0
208,4.879906047049445,1,1
479,3.5379390164796787,1,1
331,16.103487947207537,0,0
387,3.6157030112475907,1,1
358,3.1898452508271657,1,1
310,0.013067815225991097,1,1
364,1.3750781284497493,1,1
365,0.36248082091459466,0,0
82,3.9283843174403477,1,1
319,3.6820264672191394,1,1
29,12.836390336028707,1,0
98,0.26562406917160164,1,1
14,10.695989325623849,1,0
230,4.117639763566423,1,1
389,2.5223064475082113,1,1
42,0.9439340339475799,0,0
507,0.30789783382616953,1,1
534,1.2389303715797584,1,1
460,0.40275697898579654,1,1
2167,13.52052576105095,0,0
352,3.933763946256461,1,1
1063,17.023014708519636,1,0
534,1.748930035997709,1,1
609,15.648516244255756,1,0
248,1.423113577558195,1,1
202,4.97079641854852,1,1
253,2.6064086634467176,1,1
176,4.810631703602974,1,1
937,6.851821656222636,1,0
403,0.12094086367956836,1,1
334,4.972097692266127,1,1
606,14.687313529844367,0,0
160,14.421093217957438,0,0
467,3.979842779188736,1,1
142,1.5437506045293592,1,1
335,2.1608911875281422,1,1
156,2.3029235679040228,0,0
60,1.0553051571920524,1,1
271,4.629504275305962,1,1
18,1.0726958304166168,1,1
41,4.644493818026863,0,0
176,3.0348582590610484,1,1
475,2.6194748598834816,1,1
20,17.166458777577162,0,0
416,1.4013739144237891,1,1
213,0.8299465101981274,1,1
67,2.607062600865311,1,1
1503,9.432527303905234,0,0
67,11.29188162580643,0,0
20,3.8687068591296514,1,1
54,4.408920084908379,1,1
150,2.468997316207102,1,1
23,17.80819034438657,0,0
387,4.288129659863291,1,1
202,16.11429051336436,1,0
624,3.6849730314534845,1,0
223,17.54240935324576,1,0
420,3.227256021107674,0,0
263,4.081287770932011,1,1
1934,19.69308955181679,0,0
1043,4.916371740451493,1,0
367,6.048390225570728,1,0
280,4.1196007175392335,1,1
95,4.035898965049139,1,1
1091,11.658521136085263,1,0
9,0.6488689209437393,1,1
179,11.66614496368409,0,0
3,2.688668547391,1,1
977,16.508313282478962,0,0
89,11.904256682537495,1,0
